;;;;;;;;;;;;;
;"Wymagania (w oparciu o specyfikacjê; z naciskiem na czêœæ aplikacji klienckiej)";Rodzaj wymagania;;;;;;;;;;;
19;"""Menu boczne"" ma zawieraæ pola: ""Czas"", ""Numer zadania"", ""Opis problemu"", ""Lista zadañ"", ""Zaraportuj defekt"", ""Zakoñcz"" oraz przyciski nawigacyjne ""Poprzednie"" i ""Nastêpne"". ";Funkcjonalne;;;;;;;;;;;
20;"Pole “Czas” wyœwietla czas do zakoñczenia rundy (format: gg:mm:ss; godzina, minuta, sekunda, milisekunda). ";Funkcjonalne;;;;;;;;;;;
21;Pole “Nr zadania” podaje numer zadania wyœwietlonego w oknie “Zadania”.;Funkcjonalne;;;;;;;;;;;
22;Pole “Opis problemu” zawiera ogóln¹ informacjê na temat zadania wyœwietlonego w polu “Zadania” wraz z iloœci¹ punktów za dane zadanie.;Funkcjonalne;;;;;;;;;;;
23;Pole “Lista zadañ” umo¿liwia nawigacjê pomiêdzy zadaniami. ;Funkcjonalne;;;;;;;;;;;
24;"Zadania w ""Liœcie zadañ"" maj¹ byæ dzielone wg kolorów dla poszczególnych opcji: zadanie bez udzielonej odpowiedzi, zadanie z udzielon¹ odpowiedzi¹ i aktualnie zadanie. ";Funkcjonalne;;;;;;;;;;;
25;Przycisk “Zaraportuj defekt” ma pozwalaæ na zaraportowanie defektu aktualnie wyœwietlanego w oknie “Zadania”. ;Funkcjonalne;;;;;;;;;;;
26;"Przyciski nawigacyjne “Nastêpne” i “Poprzednie” umo¿liwiaj¹ przeniesienie do  bie¿¹cego, nastêpnego i poprzedniego zadania.
";Funkcjonalne;;;;;;;;;;;
27;"Przycisk “Zakoñcz"" ma zakoñczyæ pracê nad wszystkimi zadaniami i wys³aæ odpowiedzi do oceny. Nie da siê cofn¹æ tej czynnoœci. mo¿na j¹ wykonaæ tylko raz. Aby unikn¹æ pomy³ek u¿ytkownik musi potwierdziæ chêæ wykonania tej czynnoœci. ";Funkcjonalne;;;;;;;;;;;
28;Po wciœniêciu przycisku “Zakoñcz” wszystkie dane dotycz¹ce u¿ytkownika oraz rozwi¹zanych przez niego zadañ testowych eksportowane s¹ do pliku binarnego. Plik ten mo¿e byæ importowany do czêœci serwerowej w przypadku problemów z po³¹czeniem sieciowym.;Funkcjonalne;;;;;;;;;;;
29;W oknie “Zadania” ma byæ wyœwietlane zadanie, w którym u¿ytkownik musi odnaleŸæ defekty.;Funkcjonalne;;;;;;;;;;;
30;Okno aplikacji powinno mieœciæ siê w ca³oœci na ekranie monitora o rozdzielczoœci 1024x768.;Funkcjonalne;;;;;;;;;;;
31;W oknie aplikacji musi siê znaleŸæ ikona MrBuggy 3. ;Funkcjonalne;;;;;;;;;;;
32;Czas odpowiedzi interfejsu musi byæ krótszy od 1 sekundy.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
33;Prze³¹czanie pomiêdzy zadaniami nie mo¿e byæ d³u¿sze ni¿ 1 sekunda.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
34;Raport zbiorczy ma siê generowaæ nie d³u¿ej ni¿ 15 sekund.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
35;Wielkoœæ pliku z kopi¹ zapasow¹ aplikacji klienckiej nie mo¿e przekraczaæ 2MB.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
36;Aplikacja serwerowa musi byæ w stanie przyj¹æ w jednym momencie do 50 raportów u¿ytkowników.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
37;Aplikacja kliencka po uruchomieniu nie mo¿e zajmowaæ wiêcej ni¿ 100MB pamiêci operacyjnej komputera.;Niefunkcjonalne - wydajnoœciowe;;;;;;;;;;;
38;Dostêp do czêœci serwerowej aplikacji musi byæ zabezpieczony loginem i has³em.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
39;Loginy musz¹ byæ indywidualne dla ka¿dego u¿ytkownika czêœci serwerowej aplikacji.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
40;Login musi sk³adaæ siê z co najmniej 8 znaków i zawieraæ przynajmniej jedn¹ ma³¹ literê, jedn¹ wielk¹ literê, jedn¹ cyfrê i jeden znak specjalny.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
41;Login i nas³o nie mog¹ awieraæ bia³ych znaków ani polskich znaków diakrytycznych.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
42;Has³o musi sk³adaæ siê z co najmniej 20 znaków i zawieraæ przynajmniej jedn¹ ma³¹ literê, jedn¹ wielk¹ literê, jedn¹ cyfrê, jeden znak specjalny.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
43;Has³a musz¹ byæ przechowywane w formacie zaszyfrowanym.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
44;Konto musi zostaæ zablokowane po 3 krotnym wpisaniu b³êdnego has³a lub jego czêœci.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
45;Tokeny do konta maj¹ byæ generowane losowo.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
46;Czêœæ serwerowa musi posiadaæ mo¿liwoœæ tworzenia kopii zapasowej raportu zbiorczego.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
47;Musi zostaæ zaimplementowana procedura zak³adania, przywracania oraz odblokowywania konta.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
48;Musi zostaæ zaimplementowana procedura zmiany has³a.;Niefunkcjonalne - bezpieczeñstwa;;;;;;;;;;;
49;W ci¹gu roku œrednia iloœæ awarii (rozumianych jako iloœæ niespodziewanych wy³¹czeñ aplikacji wymagaj¹cych skorzystania z kopii zapasowej) w jednym dniu nie mo¿e byæ wiêksza ni¿ 1.;Niefunkcjonalne - niezawodnoœci;;;;;;;;;;;
50;MrBuggy 3 ma byæ aplikacj¹ przenoœn¹, która ma byæ dostarczona w postaci archiwum “zip”. Rozpakowane archiwum musi zawieraæ plik wykonawczy, który uruchamia aplikacjê oraz wszystkie niezbêdne biblioteki i zasoby.;Instalacyjne;;;;;;;;;;;
51;Aplikacja przypisuje -2 punkty za zg³oszenie defektu, który jest poprawnie dzia³aj¹c¹ funkcjonalnoœci¹.;Funkcjonalne;;;;;;;;;;;
52;Dodatkowo aplikacja przypisuje 0 punktów za niezg³oszenie defektu zadaniu.;Funkcjonalne;;;;;;;;;;;
53;;Funkcjonalne;;;;;;;;;;;
54;Defekty w aplikacji s¹ oceniane wed³ug kryterium wa¿noœci i dziel¹ siê na 3 klasy.;Funkcjonalne;;;;;;;;;;;
55;W oknie zadania wyœwietlony jest kalkulator z mo¿liwoœci¹ wykonania tylko jednego typu operacji - dzielenia. W wyniku takiej operacji na ekranie wyœwietla siê zero (dot. wersji demonstracyjnej).;Funkcjonalne;;;;;;;;;;;
56;W oknie zadania wyœwietlone zostan¹ dwa prostok¹ty. Stworzona zostanie funkcja sprawdzaj¹ca czy prostok¹ty pokrywaj¹ siê (czy wystêpuje czêœæ wspólna pomiêdzy nimi) i wyœwietlaj¹ca t¹ informacjê. Zostaje wyœwietlona niepoprawna informacja, ¿e prostok¹ty nie pokrywaj¹ siê (dot. wersji demonstracyjnej).;Funkcjonalne;;;;;;;;;;;
57;Wszystkie komunikaty, informacje oraz nazwy klawiszy w interfejsie graficznym musz¹ byæ w jêzyku polskim.;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
